# EVENT,XZ_DELTA,Y_DELTA,PITCH_DELTA,YAW_DELTA,SPEED_LEVEL,ON_GROUND,ANGLE_DOT,DISTANCE,PING,TPS,TIMESTAMP,offset
move,0.06981894814918377,0.41999998688697815,-10.606147,0.39855957,0,true,,,,,1464532706275,???
serverInfo,,,,,,,,,127,20.0,1464532706275,0
jump,,,,,,,,,,,1464532706275,0
move,0.04327638168815895,0.33319999363422426,-2.4,0.7499695,0,false,,,,,1464532706325,50
serverInfo,,,,,,,,,127,20.0,1464532706325,0
animation,,,,,,,,,,,1464532706366,41
attack,,,,,,,,,,,1464532706366,0
attackInfo,,,,,,,0.9822611455916221,4.184681428015927,,,1464532706366,0
serverInfo,,,,,,,,,127,19.8373338623289,1464532706366,0
move,0.04450992179357627,0.24813599859093927,12.670503,-0.74157715,0,false,,,,,1464532706375,9
serverInfo,,,,,,,,,127,20.0,1464532706375,0
move,0.045637875842842845,0.1647732818260721,-1.7999992,0.1499939,0,false,,,,,1464532706425,50
serverInfo,,,,,,,,,127,20.0,1464532706425,0
animation,,,,,,,,,,,1464532706429,4
attack,,,,,,,,,,,1464532706429,0
attackInfo,,,,,,,0.9951925305391848,4.211944391307009,,,1464532706429,0
serverInfo,,,,,,,,,127,19.984012789768187,1464532706429,0
move,0.046659083516857436,0.08307781780646906,7.4075356,-0.14559937,0,false,,,,,1464532706475,46
serverInfo,,,,,,,,,127,20.0,1464532706475,0
animation,,,,,,,,,,,1464532706561,86
attack,,,,,,,,,,,1464532706561,0
attackInfo,,,,,,,0.9904533235017179,4.521999702887192,,,1464532706561,0
serverInfo,,,,,,,,,129,19.857029388403497,1464532706561,0
move,0.11195419786212568,-0.07840000152587834,1.4385738,0.0036010742,0,false,,,,,1464532706575,14
serverInfo,,,,,,,,,129,20.0,1464532706575,0
move,0.045033348493319636,-0.15523200451660557,0.0,0.0,0,false,,,,,1464532706625,50
serverInfo,,,,,,,,,129,20.0,1464532706625,0
animation,,,,,,,,,,,1464532706665,40
attack,,,,,,,,,,,1464532706665,0
attackInfo,,,,,,,0.9688432300525345,4.707442272513302,,,1464532706665,0
serverInfo,,,,,,,,,129,19.841269841269842,1464532706665,0
move,0.04610916501144402,-0.23052736891296632,-2.7779808,0.0018920898,0,false,,,,,1464532706675,10
serverInfo,,,,,,,,,129,20.0,1464532706675,0
move,0.04708815807114064,-0.30431682745754074,0.0,0.0,0,false,,,,,1464532706725,50
serverInfo,,,,,,,,,129,20.0,1464532706725,0
animation,,,,,,,,,,,1464532706737,12
attack,,,,,,,,,,,1464532706737,0
attackInfo,,,,,,,0.9614880106966623,4.87023815541501,,,1464532706737,0
serverInfo,,,,,,,,,129,19.952114924181966,1464532706737,0
move,0.04798567384561636,-0.37663049823865435,-9.860468,0.18054199,0,false,,,,,1464532706775,38
serverInfo,,,,,,,,,129,20.0,1464532706775,0
animation,,,,,,,,,,,1464532706824,49
attack,,,,,,,,,,,1464532706824,0
attackInfo,,,,,,,0.9899798042011378,4.943926307689999,,,1464532706824,0
serverInfo,,,,,,,,,129,19.805902158843335,1464532706824,0
move,0.048802413223924646,-0.1040803780930375,0.0,0.0,0,false,,,,,1464532706825,1
serverInfo,,,,,,,,,129,20.0,1464532706825,0
move,0.0700562962030773,0.41999998688697815,-9.611761,-0.16586304,0,true,,,,,1464532706825,0
serverInfo,,,,,,,,,129,20.0,1464532706825,0
jump,,,,,,,,,,,1464532706825,0
move,0.04337996236679231,0.33319999363422426,0.0,0.0,0,false,,,,,1464532706925,100
serverInfo,,,,,,,,,129,20.0,1464532706925,0
move,0.044604987088433745,0.24813599859093927,0.0,0.0,0,false,,,,,1464532706975,50
serverInfo,,,,,,,,,129,20.0,1464532706975,0
move,0.04571975961725627,0.1647732818260721,0.0,0.0,0,false,,,,,1464532707025,50
serverInfo,,,,,,,,,129,20.0,1464532707025,0
move,0.046734202647741085,0.08307781780646906,0.0,0.0,0,false,,,,,1464532707025,0
serverInfo,,,,,,,,,129,20.0,1464532707025,0
move,0.09615475198610568,-0.07840000152587834,0.0,0.0,0,false,,,,,1464532707175,150
serverInfo,,,,,,,,,129,20.0,1464532707175,0
move,0.04926748893493027,-0.15523200451660557,0.0,0.1499939,0,false,,,,,1464532707225,50
serverInfo,,,,,,,,,129,20.0,1464532707225,0
move,0.049973655828566166,-0.23052736891296632,0.0,0.1499939,0,false,,,,,1464532707275,50
serverInfo,,,,,,,,,129,20.0,1464532707275,0
move,0.0506162677202866,-0.30431682745754074,0.3000002,0.0,0,false,,,,,1464532707325,50
serverInfo,,,,,,,,,129,20.0,1464532707325,0
move,0.0512064017588898,-0.37663049823865435,0.4500003,0.1499939,0,false,,,,,1464532707375,50
serverInfo,,,,,,,,,129,20.0,1464532707375,0
move,0.05174342374948537,-0.1040803780930375,0.0,0.0,0,false,,,,,1464532707425,50
serverInfo,,,,,,,,,129,20.0,1464532707425,0
move,0.13832679914587231,0.0,4.2,0.1499939,0,true,,,,,1464532707525,100
serverInfo,,,,,,,,,129,20.0,1464532707525,0
move,0.12073523500935579,0.0,8.25,-0.2999878,0,true,,,,,1464532707625,100
serverInfo,,,,,,,,,129,20.0,1464532707625,0
move,0.11546121332612103,0.0,1.6499987,0.0,0,true,,,,,1464532707725,100
serverInfo,,,,,,,,,129,20.0,1464532707725,0
move,0.11388894271275518,0.0,0.29999924,0.0,0,true,,,,,1464532707825,100
serverInfo,,,,,,,,,129,20.0,1464532707825,0
move,0.113420223577684,0.0,0.0,0.0,0,true,,,,,1464532707925,100
serverInfo,,,,,,,,,129,20.0,1464532707925,0
move,0.1132804908715741,0.0,0.0,0.0,0,true,,,,,1464532708025,100
serverInfo,,,,,,,,,129,20.0,1464532708025,0
move,0.11323883430647186,0.0,0.0,0.0,0,true,,,,,1464532708125,100
serverInfo,,,,,,,,,129,20.0,1464532708125,0
move,0.1132264158150349,0.41999998688697815,0.0,0.0,0,true,,,,,1464532708225,100
serverInfo,,,,,,,,,129,20.0,1464532708225,0
jump,,,,,,,,,,,1464532708225,0
move,0.03604524030947687,0.33319999363422426,0.29999924,-0.1499939,0,false,,,,,1464532708275,50
serverInfo,,,,,,,,,129,20.0,1464532708275,0
move,0.03793601768983024,0.24813599859093927,0.29999924,0.0,0,false,,,,,1464532708325,50
serverInfo,,,,,,,,,129,20.0,1464532708325,0
move,0.039656625155544134,0.1647732818260721,0.29999924,0.0,0,false,,,,,1464532708375,50
serverInfo,,,,,,,,,129,20.0,1464532708375,0
move,0.04121675012855519,0.08307781780646906,0.44999886,-0.1499939,0,false,,,,,1464532708375,0
serverInfo,,,,,,,,,129,20.0,1464532708375,0
move,0.08656486735445412,-0.07840000152587834,0.44999886,0.0,0,false,,,,,1464532708575,200
serverInfo,,,,,,,,,129,20.0,1464532708575,0
move,0.04510406849721704,-0.15523200451660557,0.0,0.0,0,false,,,,,1464532708575,0
serverInfo,,,,,,,,,129,20.0,1464532708575,0
move,0.06669080519874626,-0.23052736891296632,-0.14999962,0.0,0,false,,,,,1464532708625,50
serverInfo,,,,,,,,,129,20.0,1464532708625,0
move,0.09402856331552556,-0.30431682745754074,0.0,0.0,0,false,,,,,1464532708675,50
serverInfo,,,,,,,,,129,20.0,1464532708675,0
move,0.11901237315772306,-0.37663049823865435,-0.44999886,0.4499817,0,false,,,,,1464532708725,50
serverInfo,,,,,,,,,129,20.0,1464532708725,0
move,0.14178351717755788,-0.1040803780930375,-0.14999962,0.1499939,0,false,,,,,1464532708775,50
serverInfo,,,,,,,,,129,20.0,1464532708775,0
move,0.29660608249596265,0.0,0.0,0.1499939,0,true,,,,,1464532708825,50
serverInfo,,,,,,,,,129,20.0,1464532708825,0
move,0.3298703083669494,0.0,0.0,0.2999878,0,true,,,,,1464532708875,50
serverInfo,,,,,,,,,129,20.0,1464532708875,0
move,0.6120974746538792,0.41999998688697815,0.0,0.1499939,0,true,,,,,1464532708875,0
serverInfo,,,,,,,,,129,20.0,1464532708875,0
jump,,,,,,,,,,,1464532708875,0
animation,,,,,,,,,,,1464532708957,82
attack,,,,,,,,,,,1464532708957,0
attackInfo,,,,,,,0.9920682787489015,3.9055648386942545,,,1464532708957,0
serverInfo,,,,,,,,,129,19.87281399046105,1464532708957,0
move,0.23388662958954143,0.33319999363422426,-4.546708,-1.1048279,0,false,,,,,1464532708975,18
serverInfo,,,,,,,,,129,20.0,1464532708975,0
animation,,,,,,,,,,,1464532709027,52
attack,,,,,,,,,,,1464532709027,0
attackInfo,,,,,,,0.9987904375542525,3.7811614338896713,,,1464532709027,0
serverInfo,,,,,,,,,129,19.992003198720514,1464532709027,0
